startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1921-01-29 16:40:00","1921-01-29 16:40:00","Roemmers","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1MiY1jfg4PzxLo3ScDY0Zn1Ay0CD8Es9k"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://www.topgroup.com.ar/wp-content/uploads/2018/12/roemmers-logo.png"",""display_class"":""inline"",""scale"":""40"",""width"":""200"",""height"":""200""}","da","1","100","0",""
"1922-07-01 14:49:00","1922-07-01 14:49:00","YPF (3)","<p>Haga clic en la pestaña &#34;Trabajo&#34; para ver el archivo</p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mZ1J2Z3NuNzB4d2c"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1922-07-01 16:59:00","1922-07-01 16:59:00","YPF (2)","<p>Hacer clic en la pestaña &#34;Trabajo&#34; para ver el archivo</p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mdkVZLXFvdUIydFU"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1922-07-01 18:13:00","1922-07-01 18:13:00","YPF (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1eWPOkfsSauR6RoF3ad4KUr4viEfamV0M"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://seeklogo.com/images/Y/YPF-logo-18C396DA4A-seeklogo.com.png"",""display_class"":""inline"",""scale"":""20"",""width"":""300"",""height"":""134""}","da","1","100","0",""
"1923-10-06 02:57:00","1923-10-06 02:57:00","Frigorífico Lisandro de la Torre (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mNGNudDZrbGcwYWc"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1923-10-06 04:11:00","1923-10-06 04:11:00","Frigorífico Lisandro de la Torre (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1ovO_Pl59W3G4-fz19nmzYDEctFDV3wfx"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1924-02-08 08:12:00","1924-02-08 08:12:00","Estancias Las Marías, Taragüi","<p></p>","50","[{""url"":""https://drive.google.com/open?id=10frKwqpEmj_hpZpPgX5vfhOpln_ta3-f"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://s3.amazonaws.com/timeglider_user/piaggiomac81524f532e/1563736876.jpg"",""display_class"":""inline"",""scale"":""30"",""width"":""230"",""height"":""150""}","da","1","100","0",""
"1925-03-01 06:13:00","1925-03-01 06:13:00","General Motors (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mVFZVbWo0Y083clE"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://s3.amazonaws.com/timeglider_user/piaggiomac81524f532e/1585677498.jpg"",""display_class"":""inline"",""scale"":""10"",""width"":""500"",""height"":""500""}","da","1","100","0",""
"1925-03-01 09:08:00","1925-03-01 09:08:00","General Motors (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1bzR0hiY-FCRhtHwMcA0JL6jiy3sKvVr_"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1926-07-01 05:48:00","1926-07-01 05:48:00","Felfort (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=11DjrgLOOYFAnbPv0bsUjNFAQpBlp82c8"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
